White balance coefficients

Seq = 000, n = tensor([0.8402]), red_gain = tensor([1.9184]), blue_gain = tensor([3.3249])
Seq = 001, n = tensor([0.8486]), red_gain = tensor([2.0857]), blue_gain = tensor([3.3423])
Seq = 002, n = tensor([0.6720]), red_gain = tensor([2.3251]), blue_gain = tensor([3.4707])
Seq = 003, n = tensor([0.9193]), red_gain = tensor([1.9492]), blue_gain = tensor([3.5492])
Seq = 004, n = tensor([0.6919]), red_gain = tensor([2.3400]), blue_gain = tensor([3.6767])
Seq = 005, n = tensor([0.7180]), red_gain = tensor([2.1053]), blue_gain = tensor([3.4845])
Seq = 006, n = tensor([0.7818]), red_gain = tensor([2.0615]), blue_gain = tensor([3.3416])
Seq = 007, n = tensor([0.7244]), red_gain = tensor([1.9953]), blue_gain = tensor([3.3661])
Seq = 008, n = tensor([0.7300]), red_gain = tensor([1.9208]), blue_gain = tensor([3.6943])
Seq = 009, n = tensor([0.6418]), red_gain = tensor([2.1378]), blue_gain = tensor([3.5288])
Seq = 010, n = tensor([0.8302]), red_gain = tensor([2.3193]), blue_gain = tensor([3.4548])
Seq = 011, n = tensor([0.8140]), red_gain = tensor([2.2519]), blue_gain = tensor([3.3500])
Seq = 012, n = tensor([0.8159]), red_gain = tensor([2.1507]), blue_gain = tensor([3.4611])
Seq = 013, n = tensor([0.9200]), red_gain = tensor([2.3635]), blue_gain = tensor([3.5646])
Seq = 014, n = tensor([0.9076]), red_gain = tensor([1.9976]), blue_gain = tensor([3.4808])
Seq = 015, n = tensor([0.9499]), red_gain = tensor([1.9019]), blue_gain = tensor([3.6041])
Seq = 016, n = tensor([0.7921]), red_gain = tensor([2.2114]), blue_gain = tensor([3.6031])
Seq = 017, n = tensor([0.8862]), red_gain = tensor([2.3636]), blue_gain = tensor([3.5451])
Seq = 018, n = tensor([0.7357]), red_gain = tensor([1.9850]), blue_gain = tensor([3.4758])
Seq = 019, n = tensor([0.7310]), red_gain = tensor([2.1497]), blue_gain = tensor([3.6977])
Seq = 020, n = tensor([0.9040]), red_gain = tensor([1.9448]), blue_gain = tensor([3.5258])
Seq = 021, n = tensor([0.7374]), red_gain = tensor([2.1582]), blue_gain = tensor([3.5783])
Seq = 022, n = tensor([0.7394]), red_gain = tensor([2.0921]), blue_gain = tensor([3.5311])
Seq = 023, n = tensor([0.7247]), red_gain = tensor([2.3098]), blue_gain = tensor([3.5951])
Seq = 024, n = tensor([0.8289]), red_gain = tensor([1.9571]), blue_gain = tensor([3.4473])
Seq = 025, n = tensor([0.8402]), red_gain = tensor([1.9625]), blue_gain = tensor([3.3790])
Seq = 026, n = tensor([0.9247]), red_gain = tensor([2.1586]), blue_gain = tensor([3.6404])
Seq = 027, n = tensor([0.8555]), red_gain = tensor([2.2718]), blue_gain = tensor([3.4514])
Seq = 028, n = tensor([0.8132]), red_gain = tensor([2.2648]), blue_gain = tensor([3.6995])
Seq = 029, n = tensor([0.9818]), red_gain = tensor([2.1434]), blue_gain = tensor([3.4572])
Seq = 030, n = tensor([0.8234]), red_gain = tensor([2.1633]), blue_gain = tensor([3.4712])
Seq = 031, n = tensor([0.6417]), red_gain = tensor([2.1797]), blue_gain = tensor([3.6925])
Seq = 032, n = tensor([0.7624]), red_gain = tensor([2.3885]), blue_gain = tensor([3.6127])
Seq = 033, n = tensor([0.7497]), red_gain = tensor([1.9207]), blue_gain = tensor([3.3292])
Seq = 034, n = tensor([0.8459]), red_gain = tensor([2.3002]), blue_gain = tensor([3.3733])
Seq = 035, n = tensor([0.7653]), red_gain = tensor([2.3309]), blue_gain = tensor([3.5342])
Seq = 036, n = tensor([0.7620]), red_gain = tensor([2.1730]), blue_gain = tensor([3.3832])
Seq = 037, n = tensor([0.9651]), red_gain = tensor([2.1687]), blue_gain = tensor([3.6035])
Seq = 038, n = tensor([0.6696]), red_gain = tensor([1.9235]), blue_gain = tensor([3.3075])
Seq = 039, n = tensor([0.8791]), red_gain = tensor([2.3968]), blue_gain = tensor([3.4818])
Seq = 040, n = tensor([0.8297]), red_gain = tensor([1.9655]), blue_gain = tensor([3.6464])
Seq = 041, n = tensor([0.8802]), red_gain = tensor([2.3682]), blue_gain = tensor([3.6721])
Seq = 042, n = tensor([0.7228]), red_gain = tensor([2.2913]), blue_gain = tensor([3.3679])
Seq = 043, n = tensor([0.9131]), red_gain = tensor([2.0015]), blue_gain = tensor([3.6427])
Seq = 044, n = tensor([0.8493]), red_gain = tensor([2.1439]), blue_gain = tensor([3.4779])
Seq = 045, n = tensor([0.8477]), red_gain = tensor([1.9682]), blue_gain = tensor([3.5463])
Seq = 046, n = tensor([0.6604]), red_gain = tensor([2.0819]), blue_gain = tensor([3.4805])
Seq = 047, n = tensor([0.8138]), red_gain = tensor([1.9193]), blue_gain = tensor([3.5807])
Seq = 048, n = tensor([0.6731]), red_gain = tensor([2.3817]), blue_gain = tensor([3.6090])
Seq = 049, n = tensor([0.8435]), red_gain = tensor([2.3488]), blue_gain = tensor([3.4912])
Seq = 050, n = tensor([0.9529]), red_gain = tensor([2.1865]), blue_gain = tensor([3.4674])
Seq = 051, n = tensor([0.8105]), red_gain = tensor([2.2070]), blue_gain = tensor([3.5688])
Seq = 052, n = tensor([0.7230]), red_gain = tensor([2.3096]), blue_gain = tensor([3.5240])
Seq = 053, n = tensor([0.7912]), red_gain = tensor([2.3624]), blue_gain = tensor([3.3643])
Seq = 054, n = tensor([0.7316]), red_gain = tensor([2.1595]), blue_gain = tensor([3.6232])
Seq = 055, n = tensor([0.9623]), red_gain = tensor([2.3265]), blue_gain = tensor([3.3646])
Seq = 056, n = tensor([0.8376]), red_gain = tensor([2.0618]), blue_gain = tensor([3.3859])
